date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview
11/5/2024 14:44,35.73108249,51.53180922,12,1354.107,,0,,20,24
11/5/2024 14:44,35.73108257,51.53180625,8,1355.046,,0,,22,28
11/5/2024 14:44,35.7310777,51.5318067,8,1352.76,,0,,24,28
11/5/2024 14:44,35.73107648,51.53180927,8,1350.253,,0,,26,29
11/5/2024 14:44,35.73108094,51.53181736,8,1348.108,,0,,26,29
11/5/2024 14:44,35.73107954,51.53182399,8,1346.433,,0,,25,29
11/5/2024 14:44,35.73107596,51.53182477,8,1345.504,,0,,25,29
11/5/2024 14:44,35.73107382,51.53181763,8,1345.231,,0,,25,29
11/5/2024 14:44,35.73106964,51.53181136,8,1345.019,,0,,27,30
11/5/2024 14:44,35.73106697,51.53180784,6,1344.61,,0,,26,30
11/5/2024 14:44,35.73106196,51.53180266,6,1344.438,,0,,23,30
11/5/2024 14:44,35.73105802,51.53179769,6,1344.438,,0,,26,31
11/5/2024 14:44,35.73105492,51.53179469,6,1344.383,,0,,28,31
11/5/2024 14:44,35.73105363,51.53179232,6,1344.17,,0,,27,31
11/5/2024 14:44,35.73105323,51.53179429,6,1343.489,,0,,26,32
11/5/2024 14:44,35.73105292,51.53179444,6,1343.36,,0,,26,33
11/5/2024 14:44,35.73105174,51.53179453,6,1343.072,,0,,26,34
11/5/2024 14:44,35.73105199,51.53179377,6,1343.221,,0,,27,34
11/5/2024 14:44,35.73105163,51.53179124,6,1342.901,,0,,27,34
11/5/2024 14:44,35.73104813,51.53179405,6,1342.349,,0,,28,34
11/5/2024 14:44,35.73104162,51.53179406,6,1342.025,,0,,28,34
11/5/2024 14:44,35.73103749,51.53179194,6,1341.73,,0.544,231,27,34
11/5/2024 14:44,35.7310348,51.5317865,6,1341.554,,0.431,236,28,38
11/5/2024 14:44,35.73103673,51.53178552,6,1340.595,,0.327,237,29,38
11/5/2024 14:44,35.73103673,51.53178552,6,1340.155,,0,,30,37
11/5/2024 14:44,35.73103673,51.53178552,4,1339.732,,0,,28,37
11/5/2024 14:44,35.73103673,51.53178552,4,1339.236,,0,,29,37
11/5/2024 14:44,35.73103673,51.53178552,4,1339.209,,0,,30,38
11/5/2024 14:44,35.73103673,51.53178552,4,1339.025,,0,,30,38
11/5/2024 14:44,35.73103673,51.53178552,4,1338.858,,0,,30,38
11/5/2024 14:44,35.73103673,51.53178552,4,1338.882,,0,,29,38
11/5/2024 14:44,35.73103673,51.53178552,4,1338.784,,0,,29,38
11/5/2024 14:44,35.73103673,51.53178552,4,1338.615,,0,,29,38
11/5/2024 14:44,35.73103673,51.53178552,4,1338.331,,0,,30,38
11/5/2024 14:44,35.73103241,51.53177974,4,1338.07,,0.32,231,30,38
11/5/2024 14:44,35.73102824,51.53177541,4,1338.08,,0.616,227,30,37
11/5/2024 14:44,35.7310229,51.53177132,4,1338.215,,0.793,224,30,37
11/5/2024 14:44,35.73101775,51.53176685,4,1337.904,,0.685,222,29,37
11/5/2024 14:44,35.73101495,51.53176481,4,1337.618,,0.481,220,29,36
11/5/2024 14:44,35.73101265,51.53176316,4,1337.289,,0.418,221,29,37
11/5/2024 14:44,35.73101102,51.53176357,4,1337.047,,0.283,221,30,36
11/5/2024 14:44,35.73101103,51.53176577,4,1336.849,,0.007,221,30,36
11/5/2024 14:44,35.73100943,51.531765,4,1336.686,,0.224,221,30,36
11/5/2024 14:44,35.73100978,51.53176552,4,1336.186,,0.202,221,30,36
11/5/2024 14:44,35.73100901,51.53176543,4,1336.099,,0.198,221,30,37
11/5/2024 14:44,35.73100726,51.53176554,4,1335.823,,0.229,221,31,37
11/5/2024 14:44,35.73100671,51.53176579,4,1335.552,,0.161,221,31,36
11/5/2024 14:45,35.73100625,51.53176587,4,1335.414,,0.011,221,30,36
11/5/2024 14:45,35.73100621,51.53176582,4,1335.487,,0.067,221,29,37
11/5/2024 14:45,35.73100274,51.53176342,4,1335.292,,0.285,216,30,37
11/5/2024 14:45,35.73100363,51.53176451,4,1335.254,,0.036,216,31,37
11/5/2024 14:45,35.73100351,51.5317645,4,1335.054,,0,216,30,37
11/5/2024 14:45,35.73100319,51.53176361,4,1334.917,,0.039,216,29,36
11/5/2024 14:45,35.7310038,51.53176409,4,1334.897,,0.014,216,29,36
11/5/2024 14:45,35.73100293,51.5317644,4,1334.902,,0.044,216,29,36
11/5/2024 14:45,35.73100211,51.53176419,4,1334.883,,0.025,216,28,37
11/5/2024 14:45,35.73100109,51.53176471,4,1335.301,,0.197,216,29,37
11/5/2024 14:45,35.73100104,51.53176477,4,1335.192,,0.024,216,29,37
11/5/2024 14:45,35.73100098,51.53176482,4,1335.083,,0.014,216,29,37
11/5/2024 14:45,35.73100094,51.53176488,4,1335.025,,0.022,216,30,37
11/5/2024 14:45,35.73100088,51.53176495,4,1334.976,,0.013,216,29,37
11/5/2024 14:45,35.73100008,51.53176335,4,1335.488,,0.187,216,29,38
11/5/2024 14:45,35.73099862,51.53176257,4,1335.331,,0.008,216,29,38
11/5/2024 14:45,35.73099738,51.53176422,4,1335.065,,0.008,216,29,37
11/5/2024 14:45,35.7309967,51.53176423,4,1335.125,,0.025,216,27,37
11/5/2024 14:45,35.73099594,51.53176398,4,1335.101,,0.21,216,28,37
11/5/2024 14:45,35.73099372,51.53176183,4,1334.861,,0.316,211,28,38
11/5/2024 14:45,35.73098985,51.53175602,4,1334.833,,0.579,217,29,37
11/5/2024 14:45,35.73098391,51.5317461,4,1334.814,,0.848,229,29,38
11/5/2024 14:45,35.73097841,51.53173232,4,1334.879,,1.059,241,29,38
11/5/2024 14:45,35.73097466,51.53171928,4,1334.974,,1.12,249,28,38
11/5/2024 14:45,35.73097166,51.53171105,4,1335.025,,1.036,255,25,38
11/5/2024 14:45,35.73097025,51.53170735,4,1334.977,,0.816,255,27,38
11/5/2024 14:45,35.73096844,51.53170073,4,1335.009,,0.768,260,27,37
11/5/2024 14:45,35.73096784,51.53169466,4,1335.044,,0.699,260,27,37
11/5/2024 14:45,35.73096686,51.53169213,4,1335.096,,0.59,260,27,37
11/5/2024 14:45,35.73096874,51.53168758,4,1335.072,,0.339,259,29,38
11/5/2024 14:45,35.73096899,51.53168259,4,1335.091,,0.39,260,28,38
11/5/2024 14:45,35.73096998,51.53166848,4,1335.065,,0.728,268,30,38
11/5/2024 14:45,35.73097023,51.53164462,4,1335.018,,1.41,270,32,38
11/5/2024 14:45,35.73097253,51.5316121,4,1335.211,,2.018,274,31,38
11/5/2024 14:45,35.73097495,51.53157737,4,1335.379,,2.413,275,31,38
11/5/2024 14:45,35.73097774,51.53153658,4,1335.423,,2.789,274,32,38
11/5/2024 14:45,35.73097962,51.53148142,4,1335.538,,3.322,273,32,37
11/5/2024 14:45,35.73098318,51.53141338,4,1335.655,,3.913,274,22,37
11/5/2024 14:45,35.73098691,51.53134576,4,1336.078,,4.32,276,27,37
11/5/2024 14:45,35.73099797,51.5312693,4,1335.896,,4.751,279,25,37
11/5/2024 14:45,35.73100673,51.5311904,4,1335.708,,5.118,280,29,37
11/5/2024 14:45,35.73101955,51.53109961,4,1336.069,,5.552,280,28,37
11/5/2024 14:45,35.73103323,51.53100564,4,1335.607,,5.941,280,28,36
11/5/2024 14:45,35.73105038,51.53090272,4,1335.448,,9.058,280,28,36
11/5/2024 14:45,35.73106484,51.53079285,4,1335.14,,9.933,279,30,37
11/5/2024 14:45,35.73107955,51.53067067,4,1334.982,,10.87,278,31,37
11/5/2024 14:45,35.73109433,51.53054468,4,1334.641,,11.378,278,29,37
11/5/2024 14:45,35.73110928,51.53041753,4,1334.73,,11.343,278,29,37
11/5/2024 14:45,35.73112645,51.53029074,4,1334.557,,11.202,279,33,36
11/5/2024 14:45,35.73114358,51.53017679,4,1334.215,,10.166,280,28,37
11/5/2024 14:45,35.73115829,51.53008647,4,1333.932,,8.344,281,30,37
11/5/2024 14:45,35.73117169,51.5300059,4,1334.218,,6.442,284,31,38
11/5/2024 14:45,35.73117861,51.52995792,4,1333.709,,4.785,280,26,38
11/5/2024 14:45,35.73118379,51.52992285,4,1333.352,,3.242,281,25,38
11/5/2024 14:45,35.73118795,51.52990345,4,1333.267,,1.661,282,25,38
11/5/2024 14:45,35.73118897,51.52989881,4,1333.216,,0.607,282,28,38
11/5/2024 14:45,35.73118897,51.52989881,4,1332.996,,0,,27,38
11/5/2024 14:45,35.73118897,51.52989881,4,1333.05,,0,,29,38
11/5/2024 14:45,35.73118897,51.52989881,4,1333.087,,0,,29,38
11/5/2024 14:45,35.73118897,51.52989881,4,1333.167,,0,,28,38
11/5/2024 14:46,35.73118897,51.52989881,4,1333.11,,0,,29,38
11/5/2024 14:46,35.73118897,51.52989881,4,1333.075,,0,,30,38
11/5/2024 14:46,35.73118897,51.52989881,4,1333.039,,0,,31,38
11/5/2024 14:46,35.73118897,51.52989881,4,1332.97,,0,,31,38
11/5/2024 14:46,35.73118897,51.52989881,4,1332.831,,0,,27,37
11/5/2024 14:46,35.73118897,51.52989881,4,1332.845,,0,,26,37
11/5/2024 14:46,35.73118897,51.52989881,4,1332.756,,0,,28,37
11/5/2024 14:46,35.7311912,51.52988665,4,1332.636,,0.612,280,28,37
11/5/2024 14:46,35.73119464,51.52987214,4,1332.555,,1.32,283,29,37
11/5/2024 14:46,35.73119775,51.52985892,4,1332.454,,1.222,285,30,36
11/5/2024 14:46,35.73119888,51.52985463,4,1332.309,,0.431,285,32,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.2,,0,,31,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.224,,0,,31,36
11/5/2024 14:46,35.73119888,51.52985463,4,1332.185,,0,,31,36
11/5/2024 14:46,35.73119888,51.52985463,4,1332.136,,0,,31,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.203,,0,,31,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.25,,0,,31,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.259,,0,,31,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.215,,0,,31,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.213,,0,,32,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.215,,0,,32,36
11/5/2024 14:46,35.73119888,51.52985463,4,1332.199,,0,,30,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.087,,0,,30,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.134,,0,,29,37
11/5/2024 14:46,35.73119888,51.52985463,4,1332.215,,0,,31,36
11/5/2024 14:46,35.73119888,51.52985463,4,1332.177,,0,,29,36
11/5/2024 14:46,35.73119888,51.52985463,4,1332.057,,0,,30,35
11/5/2024 14:46,35.73119888,51.52985463,4,1332.151,,0,,32,35
11/5/2024 14:46,35.73119888,51.52985463,4,1332.049,,0,,31,35
11/5/2024 14:46,35.73119888,51.52985463,4,1332.042,,0,,31,36
11/5/2024 14:46,35.73119888,51.52985463,4,1331.944,,0,,29,36
11/5/2024 14:46,35.73119888,51.52985463,4,1331.891,,0,,29,36
11/5/2024 14:46,35.73119234,51.52985767,4,1331.859,,0.295,283,30,36
11/5/2024 14:46,35.73119541,51.52984035,4,1331.918,,1.594,281,31,37
11/5/2024 14:46,35.73120039,51.52980947,4,1331.815,,2.81,281,31,37
11/5/2024 14:46,35.73120599,51.52977486,4,1331.685,,3.182,281,32,37
11/5/2024 14:46,35.7312109,51.5297515,4,1331.514,,2.176,284,32,36
11/5/2024 14:46,35.7312157,51.52973297,4,1331.474,,1.784,287,32,36
11/5/2024 14:46,35.73122313,51.52971013,4,1331.455,,2.236,287,30,36
11/5/2024 14:46,35.73123735,51.52968577,4,1331.411,,2.686,289,29,36
11/5/2024 14:46,35.73125105,51.52967369,4,1331.268,,1.828,323,31,36
11/5/2024 14:46,35.73126085,51.52966886,4,1331.383,,1.145,338,32,37
11/5/2024 14:46,35.73127258,51.52966549,4,1331.462,,1.302,348,31,37
11/5/2024 14:46,35.73129415,51.52966433,4,1331.457,,2.402,357,29,38
11/5/2024 14:46,35.73132672,51.52967071,4,1331.356,,3.653,10,29,37
11/5/2024 14:46,35.73137215,51.52968111,4,1331.55,,5.107,10,29,38
11/5/2024 14:46,35.73142681,51.52969513,4,1331.614,,6.2,12,29,37
11/5/2024 14:46,35.73148015,51.5297091,4,1331.801,,6.091,11,27,37
11/5/2024 14:46,35.73153554,51.5297228,4,1332.002,,6.295,11,29,37
11/5/2024 14:46,35.73159139,51.52973491,4,1332.399,,6.298,10,28,37
11/5/2024 14:46,35.73164705,51.52974719,4,1332.768,,6.273,10,24,38
11/5/2024 14:46,35.73170576,51.52975856,4,1333.289,,6.605,9,24,38
11/5/2024 14:46,35.73176944,51.52977212,4,1333.512,,7.205,9,24,37
11/5/2024 14:46,35.73183118,51.52978466,4,1333.821,,6.888,9,26,37
11/5/2024 14:46,35.73188148,51.52979329,4,1334.053,,5.578,8,27,37
11/5/2024 14:46,35.7319307,51.52980323,6,1334.242,,5.035,10,26,37
11/5/2024 14:46,35.73198118,51.5298106,6,1334.518,,5.505,9,27,37
11/5/2024 14:46,35.73203707,51.52981978,4,1334.778,,6.296,8,23,37
11/5/2024 14:46,35.73209809,51.52983058,4,1335.033,,6.87,9,21,37
11/5/2024 14:46,35.73216254,51.52984364,4,1335.215,,7.32,9,26,37
11/5/2024 14:47,35.73222766,51.52985631,4,1335.417,,7.7,12,24,37
11/5/2024 14:47,35.73229641,51.52987308,6,1334.97,,7.362,9,27,37
11/5/2024 14:47,35.73236067,51.52988805,6,1335.249,,7.358,10,25,37
11/5/2024 14:47,35.73241955,51.52990092,6,1335.599,,6.877,10,23,36
11/5/2024 14:47,35.73247448,51.52991111,6,1335.628,,5.352,10,25,36
11/5/2024 14:47,35.73252472,51.52991845,6,1335.499,,4.595,11,27,37
11/5/2024 14:47,35.73257017,51.52992427,6,1335.531,,4.382,12,30,36
11/5/2024 14:47,35.73261408,51.52993892,6,1335.889,,5.416,10,27,36
11/5/2024 14:47,35.73266489,51.52995347,6,1335.92,,6.016,5,29,37
11/5/2024 14:47,35.73272522,51.52995765,6,1336.152,,6.689,7,27,38
11/5/2024 14:47,35.73279095,51.52996797,6,1336.766,,7.606,7,24,38
11/5/2024 14:47,35.73285959,51.52998021,6,1337.13,,8.412,8,26,38
11/5/2024 14:47,35.7329405,51.52999661,4,1337.647,,9.029,9,25,38
11/5/2024 14:47,35.73302627,51.53001602,6,1337.582,,9.429,9,27,38
11/5/2024 14:47,35.73310921,51.53003472,4,1337.848,,9.425,9,23,38
11/5/2024 14:47,35.73319418,51.53005095,4,1338.337,,9.657,8,22,37
11/5/2024 14:47,35.7332793,51.53006777,4,1338.215,,9.725,6,24,37
11/5/2024 14:47,35.73336363,51.53007993,6,1338.209,,8.97,6,19,37
11/5/2024 14:47,35.73344231,51.53009389,6,1338.135,,8.19,8,29,37
11/5/2024 14:47,35.73351814,51.53010878,6,1338.59,,8.379,2,25,37
11/5/2024 14:47,35.73360142,51.5301246,6,1339.79,,9.276,8,22,38
11/5/2024 14:47,35.73369324,51.53014452,6,1340.457,,9.726,10,25,36
11/5/2024 14:47,35.73378273,51.53016743,6,1340.721,,9.958,10,27,36
11/5/2024 14:47,35.7338685,51.53018949,6,1341.586,,9.169,13,28,37
11/5/2024 14:47,35.73394835,51.53021435,6,1341.263,,7.707,11,23,37
11/5/2024 14:47,35.73401309,51.53022528,6,1340.818,,7.2,9,22,37
11/5/2024 14:47,35.73407889,51.5302388,6,1340.827,,7.457,8,28,37
11/5/2024 14:47,35.7341491,51.5302529,6,1341.336,,8.191,8,24,37
11/5/2024 14:47,35.73422035,51.53026609,6,1341.91,,8.69,9,20,36
11/5/2024 14:47,35.73429394,51.5302788,4,1341.503,,8.332,8,22,36
11/5/2024 14:47,35.73436221,51.53029116,4,1341.787,,7.956,9,25,36
11/5/2024 14:47,35.73442834,51.53030333,4,1342.075,,6.698,9,20,37
11/5/2024 14:47,35.73448866,51.53030881,6,1342.131,,6.551,7,21,36
11/5/2024 14:47,35.73454466,51.53031112,6,1341.937,,6.369,5,25,36
11/5/2024 14:47,35.73460358,51.53031309,6,1342.865,,5.764,9,26,36
11/5/2024 14:47,35.73466245,51.53032346,6,1343.495,,5.858,11,28,36
11/5/2024 14:47,35.73471037,51.5303307,6,1343.833,,5.024,9,26,36
11/5/2024 14:47,35.73475228,51.53033132,6,1343.87,,4.266,3,29,36
11/5/2024 14:47,35.73479166,51.53033055,4,1343.836,,4.142,5,30,37
11/5/2024 14:47,35.7348183,51.53033977,4,1343.858,,3.071,17,32,37
11/5/2024 14:47,35.73483585,51.53035408,4,1343.512,,1.985,28,32,37
